a: à,a.
aanwijzer: aanwijzers
aanwijzing: aanwijzingen
aanwinnen: aanwon,aanwonnen,aangewonnen,aanwin,aanwint
aanwinning: aanwinningen
aanwinst: aanwinsten
aanwippen: aangewipt,aanwipten,aanwip,aanwipt,aanwipte
aanwrijven: aanwreef,aangewreven,aanwreven,aanwrijft,aanwrijf
aanzeggen: aanzeg,aangezegd,aanzegt
aanzegger: aanzeggers
aanzegging: aanzeggingen
aanzetbuis: aanzetbuizen
aanzetstaal: aanzetstalen
aanzetstuk: aanzetstukken
aanzetten: aanzette,aanzet,aangezet
aanzetter: aanzetters
aanzetting: aanzettingen
aanzien: aanzag,aanziet,aanzagen,aangezien,aanzie
aanzienlijk: aanzienlijkere,aanzienlijke,aanzienlijker,aanzienlijkste,aanzienlijkst
aanzitten: aangezeten,aanzaten,aanzit,aanzat
aanzoek: aanzoeken
aanzoeken: aanzoek,aanzoekt,aanzochten,aanzocht,aangezocht
aanzuiveren: aanzuiverde,aangezuiverd,aanzuivert,aanzuiverden,aanzuiver
aanzwellen: aanzwol,aanzwelt,aanzwollen,aangezwollen,aanzwel
aanzwelling: aanzwellingen
aanzwengelen: aanzwengelt,aangezwengeld,aanzwengelde,aanzwengel,aanzwengelden
aap: apen
aapje: aapjes
aapmens: aapmensen
aar: aren
aard: aarden
aardappel: aardappels
aardappelboer: aardappelboeren
aardappelcampagne: aardappelcampagnes
aardappelkever: aardappelkevers
aardappelmesje: aardappelmesjes
aardappelpoter: aardappelpoters
aardappelrooier: aardappelrooiers
aardappelschillertje: aardappelschillertjes
aardappelschilmesje: aardappelschilmesjes
aardappelziekte: aardappelziekten
aardas: aardassen
aardbaan: aardbanen
aardbei: aardbeien
aardbeienbed: aardbeienbedden
aardbeienneus: aardbeienneuzen
aardbeving: aardbevingen
aardbevingsgolf: aardbevingsgolven
aardbevingsgordel: aardbevingsgordels
aardbevingshaard: aardbevingshaarden
aardbodem: aardbodems
aardbol: aardbollen
aardbrand: aardbranden
aarddraad: aarddraden
aardelektrode: aardelektroden
aarden: aardden,aardt,aard,aardde,geaard
aardeweg: aardewegen
aardewind: aardewinden
aardgas: aardgassen
aardgasbel: aardgasbellen
aardgasbus: aardgasbussen
aardgasmotor: aardgasmotoren
aardgasnet: aardgasnetten
aardgeest: aardgeesten
aardgordel: aardgordels
aardhommel: aardhommels
aardig: aardige,aardiger,aardigste,aardigere,aardigst
aardigheid: aardigheden
aardigheidje: aardigheidjes
aarding: aardingen
aardkern: aardkernen
aardkloot: aardkloten
aardkorst: aardkorsten
aardkromming: aardkrommingen
aardkundig: aardkundigere,aardkundiger,aardkundige
aardkundige: aardkundigen
aardleiding: aardleidingen
aardlekschakelaar: aardlekschakelaars
aardmagnetisch: aardmagnetische
aardmannetje: aardmannetjes
aardmassa: aardmassa's
aardmeting: aardmetingen
aardnoot: aardnoten
aardpeer: aardperen
aardpek: aardpekken
aardpijler: aardpijlers
aardplooi: aardplooien
aardpool: aardpolen
aardprofiel: aardprofielen
aardrijk: aardrijken
aardrijkskundig: aardrijkskundige
aardrijkskundige: aardrijkskundigen
aards: aardse
aardscheerder: aardscheerders
aardschok: aardschokken
aardschors: aardschorsen
aardsluiting: aardsluitingen
aardstraal: aardstralen
aardstraling: aardstralingen
aardstroom: aardstromen
aardvarken: aardvarkens
aardvast: aardvaste
aardverbinding: aardverbindingen
aardverschuiving: aardverschuivingen
aardvlo: aardvlo's
aardvrucht: aardvruchten
aardwind: aardwinden
aardworm: aardwormen
